,title,address,city,state,zipcode,price,date_sold,readable_date_sold,bedrooms,bathrooms,living_area,lot_size,year_built,home_type,home_status,finished_SqFt,total_rooms,neighborhood,DATE,bed_bath,lot_finish,age,p_sqft,finishedsqft_rooms,index,adjusted_price,adj_p_sqft,adj_price_m,group,zpid
41,810000,4073 Washington St,Boston,MA,02131,810000.0,1511902800000,2017-11-28,8,5.0,2716,5227,1910,MULTI_FAMILY,RECENTLY_SOLD,2716.0,11.0,Roslindale,2017-11-01,1.6,1.9245213549337261,107,298.23269513991164,246.9090909090909,205.75985789297002,841674.6676122047,309.8949438925643,0.8416746676122047,low_price_high_freq,59144851
42,999900,17 Harley St,Boston,MA,02124,999900.0,1510281000000,2017-11-10,5,4.0,2415,6098,1887,SINGLE_FAMILY,RECENTLY_SOLD,2415.0,9.0,South Dorchester,2017-11-01,1.25,2.5250517598343687,130,414.0372670807453,268.3333333333333,205.75985789297002,1039000.6174635104,430.22799894969376,1.0390006174635105,low_price_high_freq,59112441
43,890000,89 Wachusett St,Boston,MA,02130,890000.0,1509537600000,2017-11-01,9,4.0,3515,3920,1900,MULTI_FAMILY,RECENTLY_SOLD,3515.0,17.0,Jamaica Plain,2017-11-01,2.25,1.1152204836415363,117,253.20056899004268,206.76470588235293,205.75985789297002,924803.0298455087,263.10185770853735,0.9248030298455088,low_price_high_freq,59135963
44,839000,283 Webster St,Boston,MA,02128,839000.0,1511164800000,2017-11-20,8,4.0,2819,1873,1910,MULTI_FAMILY,RECENTLY_SOLD,2819.0,14.0,East Boston,2017-11-01,2.0,0.6644200070947145,107,297.6232706633558,201.35714285714286,205.75985789297002,871808.6989217774,309.26168815955214,0.8718086989217774,low_price_high_freq,59121184
45,1308000,402 Marlborough St APT 2,Boston,MA,02115,1308000.0,1510329600000,2017-11-10,2,2.0,1018,9999999,1899,CONDO,RECENTLY_SOLD,1018.0,5.0,Back Bay,2017-11-01,1.0,9823.181728880158,118,1284.8722986247544,203.6,205.75985789297002,1359148.722514523,1335.1166232952091,1.359148722514523,high_price_high_freq,59188487
46,225000,17 Cass St APT 3,Boston,MA,02132,225000.0,1510059600000,2017-11-07,1,1.0,552,99999,1960,CONDO,RECENTLY_SOLD,552.0,3.0,West Roxbury,2017-11-01,1.0,181.1576086956522,57,407.60869565217394,184.0,205.75985789297002,233798.51878116795,423.5480412702318,0.23379851878116795,low_price_high_freq,59159395
47,890000,79 Milton Ave,Boston,MA,02136,890000.0,1510750800000,2017-11-15,4,3.0,3245,49222,1863,SINGLE_FAMILY,RECENTLY_SOLD,3245.0,9.0,Hyde Park,2017-11-01,1.3333333333333333,15.168567026194145,154,274.2681047765794,360.55555555555554,205.75985789297002,924803.0298455087,284.99322953636636,0.9248030298455088,low_price_high_freq,59127191
48,1575000,39 Eliot St,Boston,MA,02116,1575000.0,1509562800000,2017-11-01,3,2.0,2946,12290,1910,SINGLE_FAMILY,RECENTLY_SOLD,2946.0,10.0,Jamaica Plain,2017-11-01,1.5,4.171758316361168,107,534.623217922607,294.6,205.75985789297002,1636589.6314681757,555.5294064725647,1.6365896314681756,low_price_high_freq,59133669
49,650000,6 Hackensack Ter,Chestnut Hill,MA,02467,650000.0,1511989200000,2017-11-29,3,2.0,2200,10660,1955,SINGLE_FAMILY,RECENTLY_SOLD,2200.0,8.0,West Roxbury,2017-11-01,1.5,4.845454545454546,62,295.45454545454544,275.0,205.75985789297002,675417.9431455963,307.00815597527105,0.6754179431455963,low_price_high_freq,59141536
50,357000,546 Ashmont St APT 2,Boston,MA,02122,357000.0,1511470800000,2017-11-23,3,1.0,1057,9999,1905,APARTMENT,RECENTLY_SOLD,1057.0,5.0,South Dorchester,2017-11-01,3.0,9.459791863765373,112,337.74834437086093,211.4,205.75985789297002,370960.31646611984,350.95583393199604,0.3709603164661198,low_price_high_freq,81856385
51,820000,20 Kirk St,Boston,MA,02132,820000.0,1511856000000,2017-11-28,4,1.5,1667,9225,1910,SINGLE_FAMILY,RECENTLY_SOLD,1667.0,8.0,West Roxbury,2017-11-01,2.6666666666666665,5.533893221355729,107,491.9016196760648,208.375,205.75985789297002,852065.7128913677,511.13720029476167,0.8520657128913677,low_price_high_freq,59155947
52,570000,131 Beacon St,Boston,MA,02116,570000.0,1511787600000,2017-11-27,3,2.0,2345,8712,1880,SINGLE_FAMILY,RECENTLY_SOLD,2345.0,8.0,Hyde Park,2017-11-01,1.5,3.715138592750533,137,243.07036247334756,293.125,205.75985789297002,592289.5809122922,252.57551424831226,0.5922895809122922,low_price_high_freq,59126589
53,4300000,346 Marlborough St,Boston,MA,02115,4300000.0,1511856000000,2017-11-28,7,5.0,5012,2240,1876,MULTI_FAMILY,RECENTLY_SOLD,5012.0,10.0,Back Bay,2017-11-01,1.4,0.44692737430167595,141,857.9409417398244,501.2,205.75985789297002,4468149.470040099,891.4903172466278,4.468149470040099,high_price_high_freq,59167169
54,2876000,286 Marlborough St # 1,Boston,MA,02116,2876000.0,1511856000000,2017-11-28,3,3.5,2146,2146,1872,CONDO,RECENTLY_SOLD,2146.0,10.0,Back Bay,2017-11-01,0.8571428571428571,1.0,145,1340.1677539608575,214.6,205.75985789297002,2988464.6222872846,1392.5743813081476,2.9884646222872844,high_price_high_freq,59169838
55,1800,55 Codman Hill Ave,Boston,MA,02124,1800.0,1510750800000,2017-11-15,5,2.0,2722,5588,1930,MULTI_FAMILY,RECENTLY_SOLD,2722.0,11.0,South Dorchester,2017-11-01,2.5,2.0529022777369583,87,0.6612784717119765,247.45454545454547,205.75985789297002,1870.3881502493439,0.6871374541694871,0.001870388150249344,low_price_high_freq,59114667
56,2000,8 Garrison St APT 608,Boston,MA,02116,2000.0,1510750800000,2017-11-15,1,1.0,445,445,1910,CONDO,RECENTLY_SOLD,445.0,3.0,Back Bay,2017-11-01,1.0,1.0,107,4.49438202247191,148.33333333333334,205.75985789297002,2078.209055832604,4.670132709736189,0.002078209055832604,high_price_high_freq,59179382
57,2100,5 Holyoke St # 2,Boston,MA,02116,2100.0,1509537600000,2017-11-01,1,1.0,650,648,1890,CONDO,RECENTLY_SOLD,650.0,3.0,Back Bay,2017-11-01,1.0,0.9969230769230769,127,3.230769230769231,216.66666666666666,205.75985789297002,2182.119508624234,3.3571069363449757,0.002182119508624234,high_price_high_freq,59179785
