title,address,city,state,zipcode,price,date_sold,readable_date_sold,bedrooms,bathrooms,living_area,lot_size,year_built,home_type,home_status,finished_SqFt,total_rooms,neighborhood,zpid
610000,12 Maple Leaf Dr,Boston,MA,02136,610000,1468566000000,7/15/16,4,2.5,2882,8712,2010,SINGLE_FAMILY,SOLD,2882,8,Hyde Park,113389283
420000,55 Lincoln St,Boston,MA,02111,420000,1470812400000,8/10/16,7,3,2484,8712,1865,MULTI_FAMILY,SOLD,2484,12,Hyde Park,59126736
450000,240 W 5th St # 3,Boston,MA,02127,450000,1466406000000,6/20/16,1,1,831,8712,1890,APARTMENT,SOLD,831,4,South Boston,67096621
600000,34 Fuller St,Boston,MA,02124,600000,1496197800000,5/31/17,4,2,2924,8712,1905,MULTI_FAMILY,SOLD,2924,12,South Dorchester,59115215
610000,29 Delano Park,Boston,MA,02131,610000,1532372400000,7/23/18,3,1.5,1387,8712,1960,SINGLE_FAMILY,RECENTLY_SOLD,1387,7,Roslindale,59144230
525000,34 Grew Ave,Boston,MA,02131,525000,1471330800000,8/16/16,5,2,1900,8712,1915,SINGLE_FAMILY,SOLD,1900,7,Roslindale,59144435
1350000,4907 Washington St,Boston,MA,02132,1350000,1497009600000,6/9/17,2,1,5400,8712,1935,MULTI_FAMILY,SOLD,5400,,West Roxbury,2106292031
1240000,9 Wren St,Boston,MA,02132,1240000,1495713600000,5/25/17,6,3.5,3250,8712,1907,SINGLE_FAMILY,SOLD,3250,12,West Roxbury,59156524
460000,273 Huntington Ave,Boston,MA,02115,460000,1528311600000,6/6/18,4,2,1730,8712,1950,MULTI_FAMILY,RECENTLY_SOLD,1730,10,Hyde Park,59125450
400000,20 Fuller St,Boston,MA,02124,400000,1466060400000,6/16/16,1,1,1711,8712,1927,CONDO,SOLD,1711,9,South Dorchester,59115218
570000,131 Beacon St,Boston,MA,02116,570000,1511787600000,11/27/17,3,2,2345,8712,1880,SINGLE_FAMILY,RECENTLY_SOLD,2345,8,Hyde Park,59126589
730000,141 Lamartine St,Boston,MA,02130,730000,1465588800000,6/10/16,3,3,1683,8712,2004,CONDO,SOLD,1683,6,Jamaica Plain,67096293
380000,121 Tremont St APT D1,Boston,MA,02135,380000,1535742000000,8/31/18,1,1,767,767,1964,CONDO,RECENTLY_SOLD,767,3,Brighton,59096915
699000,41 Revere St APT 8,Boston,MA,02114,699000,1535742000000,8/31/18,1,1,550,3000,1920,APARTMENT,RECENTLY_SOLD,550,3,Beacon Hill,59173795
740000,663 E 7th St # 3,Boston,MA,02127,740000,1535742000000,8/31/18,2,2,1173,1173,1905,CONDO,RECENTLY_SOLD,1173,4,South Boston,60112389
665000,48 E Springfield St APT 4,Boston,MA,02118,665000,1535742000000,8/31/18,1,1,720,720,1875,CONDO,RECENTLY_SOLD,720,3,South End,81858785
